,postag,s_id,w_id,word,0
711,RB,71.0,7.0,often,4742
712,NN,71.0,8.0,misunderstood,172
713,PRP,72.0,0.0,I,258405
714,MD,72.0,1.0,would,37105
715,VB,72.0,2.0,pay,1896
716,TO,72.0,3.0,to,407216
717,VB,72.0,4.0,see,34646
718,DT,72.0,5.0,any,22616
719,NN,72.0,6.0,movie,132192
720,CC,72.0,7.0,either,5511
721,VBD,72.0,8.0,made,24636
722,CC,72.0,9.0,or,54227
723,VBG,72.0,10.0,starring,1461
724,NNP,72.0,11.0,Robert,3094
725,NNP,72.0,12.0,Redford,126
726,NNP,72.0,13.0,Clint,339
727,NNP,72.0,14.0,Eastwood,424
728,NNP,72.0,15.0,Mel,358
729,NNP,72.0,16.0,Gibson,251
730,CC,72.0,17.0,or,54227
731,NNP,72.0,18.0,Russel,66
732,NNP,72.0,19.0,Crowe,158
733,VBG,73.0,0.0,Thinking,3532
734,IN,73.0,1.0,from,62401
735,DT,73.0,2.0,the,1014971
736,NN,73.0,3.0,top,5517
737,IN,73.0,4.0,of,439756
738,PRP$,73.0,5.0,my,36415
739,NN,73.0,6.0,head,4607
740,PRP,73.0,7.0,I,258405
741,MD,73.0,8.0,'d,10109
742,VB,73.0,9.0,go,15302
743,IN,73.0,10.0,for,133639
744,NNP,73.0,11.0,Will,27203
745,NNP,73.0,12.0,Ferrell,117
746,PRP,74.0,0.0,I,258405
747,MD,74.0,1.0,'ll,8729
748,VB,74.0,2.0,see,34646
749,NN,74.0,3.0,anything,8615
750,NNP,74.0,4.0,Alfred,316
751,NNP,74.0,5.0,Hitchcock,986
752,NNS,74.0,6.0,acts,1203
753,IN,74.0,7.0,in,282877
754,RB,75.0,0.0,Maybe,7156
755,PRP,75.0,1.0,it,287854
756,VBZ,75.0,2.0,is,321694
757,CC,75.0,3.0,but,126937
758,NNP,75.0,4.0,James,3087
759,NNP,75.0,5.0,Stewart,861
760,VBZ,75.0,6.0,is,321694
761,RB,75.0,7.0,too,23496
762,JJ,75.0,8.0,good,44866
763,IN,75.0,9.0,for,133639
764,PRP,75.0,10.0,me,31848
765,TO,75.0,11.0,to,407216
766,VB,75.0,12.0,give,10217
767,DT,75.0,13.0,a,491473
768,NN,75.0,14.0,damn,1041
769,PRP,76.0,0.0,I,258405
770,MD,76.0,1.0,would,37105
771,VBP,76.0,2.0,'ve,15254
772,VBD,76.0,3.0,said,6633
773,NNP,76.0,4.0,James,3087
774,NNP,76.0,5.0,Stewart,861
775,CC,76.0,6.0,but,126937
776,PRP,76.0,7.0,I,258405
777,VBD,76.0,8.0,thought,10396
778,DT,76.0,9.0,this,226658
779,VBD,76.0,10.0,was,144148
780,RB,76.0,11.0,only,35361
781,IN,76.0,12.0,for,133639
782,NNS,76.0,13.0,actors,13266
783,WDT,76.0,14.0,that,218899
784,VBD,76.0,15.0,were,32221
785,JJ,76.0,16.0,alive,1437
786,NNP,77.0,0.0,Brad,482
787,NNP,77.0,1.0,Pitt,474
788,MD,77.0,2.0,ca,90
789,RB,77.0,3.0,n't,115
790,VB,77.0,4.0,pull,1111
791,RP,77.0,5.0,off,18493
792,DT,77.0,6.0,an,65086
793,JJ,77.0,7.0,Irish,544
794,NN,77.0,8.0,accent,1402
795,WDT,77.0,9.0,which,35835
796,VBD,77.0,10.0,ruined,635
797,DT,77.0,11.0,the,1014971
798,JJ,77.0,12.0,entire,4316
799,NN,77.0,13.0,movie,132192
800,IN,77.0,14.0,for,133639
801,PRP,77.0,15.0,me,31848
802,PRP,78.0,0.0,I,258405
803,VBD,78.0,1.0,used,5973
804,TO,78.0,2.0,to,407216
805,VB,78.0,3.0,buy,2276
806,NN,78.0,4.0,everything,6994
807,IN,78.0,5.0,with,133897
808,NNP,78.0,6.0,Adam,985
809,NNP,78.0,7.0,Sandler,590
810,CC,78.0,8.0,but,126937
811,PRP,78.0,9.0,I,258405
812,RB,78.0,10.0,really,34922
813,MD,78.0,11.0,ca,90
814,RB,78.0,12.0,n't,115
815,VB,78.0,13.0,enjoy,5289
816,DT,78.0,14.0,the,1014971
817,NN,78.0,15.0,humor,4233
818,TO,78.0,16.0,to,407216
819,DT,78.0,17.0,the,1014971
820,JJ,78.0,18.0,same,12381
821,NN,78.0,19.0,degree,588
822,IN,78.0,20.0,as,139962
823,PRP,78.0,21.0,I,258405
824,MD,78.0,22.0,could,23935
825,VB,78.0,23.0,before,12756
826,PRP,79.0,0.0,I,258405
827,VBP,79.0,1.0,'m,15216
828,RB,79.0,2.0,just,53579
829,VBG,79.0,3.0,going,12767
830,TO,79.0,4.0,to,407216
831,VB,79.0,5.0,say,15684
832,NNP,79.0,6.0,Daniel,662
833,NNP,79.0,7.0,Auteuil,41
834,IN,79.0,8.0,because,26920
835,PRP,79.0,9.0,he,90071
836,VBZ,79.0,10.0,'s,197995
837,PRP$,79.0,11.0,my,36415
838,NN,79.0,12.0,favourite,991
839,PRP,80.0,0.0,I,258405
840,RB,80.0,1.0,much,29158
841,VBP,80.0,2.0,prefer,545
842,IN,80.0,3.0,that,218899
843,TO,80.0,4.0,to,407216
844,DT,80.0,5.0,the,1014971
845,JJ,80.0,6.0,exact,608
846,JJ,80.0,7.0,same,12381
847,NNS,80.0,8.0,threads,138
848,VBG,80.0,9.0,being,20276
849,VBN,80.0,10.0,made,24636
850,DT,80.0,11.0,every,12083
851,NN,80.0,12.0,week,1321
852,NNP,81.0,0.0,Tom,2373
853,NNP,81.0,1.0,Hardy,426
854,MD,81.0,2.0,may,9929
855,VB,81.0,3.0,be,81558
856,VBG,81.0,4.0,sneaking,72
857,IN,81.0,5.0,onto,990
858,DT,81.0,6.0,the,1014971
859,NN,81.0,7.0,list,1797
860,IN,81.0,8.0,as,139962
861,RB,81.0,9.0,well,32015
862,IN,82.0,0.0,For,133639
863,DT,82.0,1.0,some,47817
864,NN,82.0,2.0,reason,6781
865,PRP,82.0,3.0,it,287854
866,VBZ,82.0,4.0,'s,197995
867,NNP,82.0,5.0,Nicolas,118
868,NNP,82.0,6.0,Cage,558
869,IN,82.0,7.0,although,7419
870,PRP,82.0,8.0,he,90071
871,VBZ,82.0,9.0,'s,197995
872,RB,82.0,10.0,not,90831
873,PRP$,82.0,11.0,my,36415
874,JJ,82.0,12.0,favorite,3597
875,PRP,83.0,0.0,I,258405
876,VBP,83.0,1.0,think,21294
877,NNP,83.0,2.0,Sam,1657
878,NNP,83.0,3.0,Rockwell,41
879,CC,83.0,4.0,and,494087
880,NNP,83.0,5.0,Luke,472
881,NNP,83.0,6.0,Wilson,624
882,NN,83.0,7.0,fall,2360
883,IN,83.0,8.0,in,282877
884,DT,83.0,9.0,that,218899
885,NN,83.0,10.0,category,572
886,RB,83.0,11.0,too,23496
887,PRP,84.0,0.0,It,287854
888,VBZ,84.0,1.0,'s,197995
889,DT,84.0,2.0,a,491473
890,JJ,84.0,3.0,great,27441
891,NN,84.0,4.0,show,18084
892,IN,84.0,5.0,If,50475
893,PRP,84.0,6.0,I,258405
894,MD,84.0,7.0,could,23935
895,VB,84.0,8.0,find,12457
896,PRP,84.0,9.0,it,287854
897,IN,84.0,10.0,in,282877
898,JJR,84.0,11.0,better,17522
899,NN,84.0,12.0,quality,3842
900,NNP,85.0,0.0,Nice,5752
901,TO,85.0,1.0,to,407216
902,VB,85.0,2.0,see,34646
903,DT,85.0,3.0,some,47817
904,NN,85.0,4.0,love,19459
905,IN,85.0,5.0,for,133639
906,NNP,85.0,6.0,Richard,2419
907,NNP,85.0,7.0,Jenkins,54
908,PRP,86.0,0.0,I,258405
909,VBP,86.0,1.0,have,83569
910,TO,86.0,2.0,to,407216
911,VB,86.0,3.0,admit,1796
912,IN,86.0,4.0,that,218899
913,PRP,86.0,5.0,I,258405
914,MD,86.0,6.0,'ll,8729
915,VB,86.0,7.0,watch,20734
916,NNP,86.0,8.0,Will,27203
917,NNP,86.0,9.0,Ferrell,117
918,IN,86.0,10.0,in,282877
919,NN,86.0,11.0,anything,8615
920,PRP,87.0,0.0,I,258405
921,MD,87.0,1.0,must,9963
922,VB,87.0,2.0,mention,2435
923,NNP,87.0,3.0,Michael,3637
924,NNP,87.0,4.0,Shannon,152
925,PRP,88.0,0.0,I,258405
926,MD,88.0,1.0,would,37105
927,VB,88.0,2.0,go,15302
928,VB,88.0,3.0,see,34646
929,NNP,88.0,4.0,Colin,283
930,NNP,88.0,5.0,Morgan,584
931,IN,88.0,6.0,in,282877
932,RB,88.0,7.0,almost,9315
933,NN,88.0,8.0,everything,6994
934,PRP,89.0,0.0,He,90071
935,VBZ,89.0,1.0,'s,197995
936,VBD,89.0,2.0,got,10507
937,DT,89.0,3.0,a,491473
938,JJ,89.0,4.0,good,44866
939,NN,89.0,5.0,face,4982
940,NNP,89.0,6.0,Larry,500
941,NNP,89.0,7.0,Gates,187
942,NNP,90.0,0.0,Kristy,40
943,NNP,90.0,1.0,Swanson,147
944,VBZ,90.0,2.0,has,50800
945,RB,90.0,3.0,always,9518
946,VBN,90.0,4.0,had,33083
947,JJ,90.0,5.0,large,1687
948,JJ,90.0,6.0,um,162
949,NNS,90.0,7.0,assets,75
950,NNP,91.0,0.0,Phoebe,42
951,NNP,91.0,1.0,Cates,48
952,VBZ,91.0,2.0,is,321694
953,DT,91.0,3.0,the,1014971
954,JJS,91.0,4.0,hottest,75
955,RB,91.0,5.0,so,62020
956,RB,91.0,6.0,far,8904
957,IN,91.0,7.0,for,133639
958,JJ,91.0,8.0,sure,7924
959,NNP,92.0,0.0,Ashley,202
960,NNP,92.0,1.0,Judd,130
961,VBD,92.0,2.0,was,144148
962,RB,92.0,3.0,quite,11113
963,IN,92.0,4.0,in,282877
964,NN,92.0,5.0,demand,277
965,RB,92.0,6.0,back,14922
966,IN,92.0,7.0,in,282877
967,DT,92.0,8.0,the,1014971
968,CD,92.0,9.0,90s,0
969,CD,93.0,0.0,One,81320
970,IN,93.0,1.0,of,439756
971,PRP$,93.0,2.0,my,36415
972,JJ,93.0,3.0,favorite,3597
973,NNP,93.0,4.0,Hugh,303
974,NNP,93.0,5.0,Jackman,75
975,NN,93.0,6.0,romance,2084
976,NNS,93.0,7.0,movies,23125
977,PRP,93.0,8.0,she,41775
978,VBD,93.0,9.0,was,144148
979,IN,93.0,10.0,in,282877
980,PRP,94.0,0.0,I,258405
981,VBD,94.0,1.0,thought,10396
982,PRP,94.0,2.0,they,69941
983,VBD,94.0,3.0,missed,1517
984,DT,94.0,4.0,the,1014971
985,NN,94.0,5.0,boat,832
986,RB,94.0,6.0,not,90831
987,VBG,94.0,7.0,casting,1694
988,NNP,94.0,8.0,Pierce,216
989,NNP,94.0,9.0,Brosnan,222
990,CC,94.0,10.0,or,54227
991,NNP,94.0,11.0,Hugh,303
992,NNP,94.0,12.0,Jackman,75
993,NNP,95.0,0.0,Teri,86
994,NNP,95.0,1.0,Hatcher,44
995,VBD,95.0,2.0,was,144148
996,JJ,95.0,3.0,nice,5752
997,RB,95.0,4.0,back,14922
998,IN,95.0,5.0,in,282877
999,DT,95.0,6.0,the,1014971
1000,NN,95.0,7.0,day,8083
1001,PRP,96.0,0.0,They,69941
1002,MD,96.0,1.0,should,15086
1003,VB,96.0,2.0,have,83569
1004,VBN,96.0,3.0,got,10507
1005,NNP,96.0,4.0,Monica,148
1006,NNP,96.0,5.0,Bellucci,0
1007,IN,96.0,6.0,for,133639
1008,NNP,96.0,7.0,Tomorrow,298
1009,NNP,96.0,8.0,Never,19539
1010,VBZ,96.0,9.0,Dies,1158
1011,NNP,97.0,0.0,Rose,819
1012,NNP,97.0,1.0,Byrne,82
1013,POS,97.0,2.0,'s,197995
1014,DT,97.0,3.0,a,491473
1015,JJ,97.0,4.0,great,27441
1016,NN,97.0,5.0,choice,1639
1017,PRP,98.0,0.0,I,258405
1018,RB,98.0,1.0,only,35361
1019,VBP,98.0,2.0,know,18457
1020,IN,98.0,3.0,of,439756
1021,DT,98.0,4.0,The,1014971
1022,NNP,98.0,5.0,Gilmore,84
1023,NNP,98.0,6.0,Girls,3525
1024,IN,98.0,7.0,because,26920
1025,IN,98.0,8.0,of,439756
1026,NNP,98.0,9.0,Lauren,190
1027,NNP,98.0,10.0,Graham,311
1028,RB,99.0,0.0,Now,13946
1029,NNP,99.0,1.0,Heather,182
1030,NNP,99.0,2.0,Graham,311
1031,VBZ,99.0,3.0,is,321694
1032,RB,99.0,4.0,as,139962
1033,JJ,99.0,5.0,hot,2047
1034,IN,99.0,6.0,as,139962
1035,NN,99.0,7.0,hell,3250
1036,PRP,100.0,0.0,I,258405
1037,VBP,100.0,1.0,think,21294
1038,NNP,100.0,2.0,Ray,1055
1039,NNP,100.0,3.0,Liotta,121
1040,MD,100.0,4.0,should,15086
1041,VB,100.0,5.0,be,81558
1042,JJR,100.0,6.0,higher,811
1043,DT,100.0,7.0,the,1014971
1044,JJR,100.0,8.0,more,42659
1045,PRP,100.0,9.0,I,258405
1046,VBP,100.0,10.0,look,12565
1047,IN,100.0,11.0,at,70059
1048,PRP$,100.0,12.0,her,54592
1049,DT,100.0,13.0,the,1014971
1050,RBR,100.0,14.0,more,42659
1051,PRP,100.0,15.0,I,258405
1052,VBP,100.0,16.0,see,34646
1053,WRB,100.0,17.0,how,26547
1054,JJ,100.0,18.0,hot,2047
1055,PRP,100.0,19.0,she,41775
1056,VBZ,100.0,20.0,is,321694
