,postag,s_id,w_id,word,0
165,TO,15.0,12.0,to,407216
166,NN,15.0,13.0,perfection,434
167,IN,15.0,14.0,in,282877
168,DT,15.0,15.0,this,226658
169,NN,15.0,16.0,world,11629
170,PRP$,16.0,0.0,My,36415
171,JJ,16.0,1.0,favorite,3597
172,NN,16.0,2.0,actress,3535
173,VBZ,16.0,3.0,is,321694
174,NNP,16.0,4.0,Kate,754
175,NNP,16.0,5.0,Hudson,379
176,NNP,17.0,0.0,Michael,3637
177,NNP,17.0,1.0,Pitt,474
178,VBZ,17.0,2.0,is,321694
179,RB,17.0,3.0,absolutely,4385
180,JJ,17.0,4.0,gorgeous,1070
181,NN,18.0,0.0,Yeah,1438
182,PRP,18.0,1.0,I,258405
183,MD,18.0,2.0,'d,10109
184,VB,18.0,3.0,have,83569
185,TO,18.0,4.0,to,407216
186,VB,18.0,5.0,agree,1680
187,NNP,19.0,0.0,Jennifer,799
188,NNP,19.0,1.0,Aniston,84
189,VBZ,19.0,2.0,is,321694
190,DT,19.0,3.0,a,491473
191,JJ,19.0,4.0,nice,5752
192,NN,19.0,5.0,peice,0
193,IN,19.0,6.0,of,439756
194,NN,19.0,7.0,ass,887
195,DT,20.0,0.0,The,1014971
196,JJ,20.0,1.0,Green,1214
197,NNP,20.0,2.0,Lantern,0
198,NNP,20.0,3.0,Corps,49
199,VBZ,20.0,4.0,has,50800
200,VBN,20.0,5.0,battled,0
201,IN,20.0,6.0,against,4385
202,DT,20.0,7.0,the,1014971
203,NNS,20.0,8.0,forces,881
204,IN,20.0,9.0,of,439756
205,NN,20.0,10.0,evil,4288
206,CC,20.0,11.0,and,494087
207,NN,20.0,12.0,chaos,309
208,IN,20.0,13.0,for,133639
209,DT,20.0,14.0,a,491473
210,NN,20.0,15.0,millennium,122
211,NNP,21.0,0.0,Jessica,421
212,NNP,21.0,1.0,Biel,0
213,CC,21.0,2.0,and,494087
214,NNP,21.0,3.0,Angelina,155
215,NNP,21.0,4.0,Jolie,189
216,VBP,21.0,5.0,have,83569
217,JJ,21.0,6.0,gorgeous,1070
218,VBZ,21.0,7.0,faces,1141
219,NNP,22.0,0.0,Classy,185
220,VBZ,22.0,1.0,is,321694
221,RB,22.0,2.0,probably,8457
222,DT,22.0,3.0,the,1014971
223,JJS,22.0,4.0,least,9351
224,JJ,22.0,5.0,likely,1281
225,NN,22.0,6.0,word,2792
226,PRP,22.0,7.0,you,103796
227,MD,22.0,8.0,would,37105
228,VB,22.0,9.0,expect,3639
229,NN,22.0,10.0,hear,2147
230,VBN,22.0,11.0,associated,399
231,IN,22.0,12.0,with,133897
232,NNP,22.0,13.0,Clara,136
233,NNP,22.0,14.0,Bow,246
234,PRP,23.0,0.0,I,258405
235,VBP,23.0,1.0,adore,192
236,NNP,23.0,2.0,Shawnee,0
237,NNP,23.0,3.0,Smith,1441
238,DT,23.0,4.0,a,491473
239,JJ,23.0,5.0,whole,9415
240,NN,23.0,6.0,lot,12244
241,NNP,24.0,0.0,Josie,96
242,NNP,24.0,1.0,Maran,0
243,VBD,24.0,2.0,was,144148
244,CD,24.0,3.0,one,81320
245,IN,24.0,4.0,of,439756
246,NNP,24.0,5.0,Dracula,844
247,POS,24.0,6.0,'s,197995
248,NNP,24.0,7.0,Brides,77
249,IN,24.0,8.0,in,282877
250,NNP,24.0,9.0,Van,1613
251,NNP,24.0,10.0,Hesling,0
252,NNP,25.0,0.0,Sexiest,52
253,NNP,25.0,1.0,Actor,6992
254,VBZ,25.0,2.0,is,321694
255,NNP,25.0,3.0,Brad,482
256,NNP,25.0,4.0,Pitt,474
257,NNP,26.0,0.0,Sexiest,52
258,NN,26.0,1.0,actress,3535
259,NNP,26.0,2.0,Angelina,155
260,NNP,26.0,3.0,Jolie,189
261,NNP,27.0,0.0,Sorry,2397
262,CC,27.0,1.0,but,126937
263,PRP,27.0,2.0,I,258405
264,RB,27.0,3.0,absolutely,4385
265,VBP,27.0,4.0,loath,0
266,NNP,27.0,5.0,Keira,62
267,NNP,27.0,6.0,Knightley,97
268,NNP,28.0,0.0,Angelina,155
269,NNP,28.0,1.0,Jolie,189
270,VBZ,28.0,2.0,is,321694
271,JJ,28.0,3.0,awesome,1483
272,PRP,29.0,0.0,I,258405
273,RB,29.0,1.0,also,27505
274,VBP,29.0,2.0,forget,2182
275,TO,29.0,3.0,to,407216
276,VB,29.0,4.0,mention,2435
277,DT,29.0,5.0,the,1014971
